wavenumber_cm1,reflectance_input,reflectance_hampel_cleaned,reflectance_smoothed,baseline,detrended_residual,amplitude_envelope,normalized_fringe,is_hampel_outlier
550.0952,15.88870445,15.88870445,15.884892872597028,63.13515314030547,-47.25026026770844,70.09969322972887,-0.4696105389666624,0
550.5773,15.47435633,15.47435633,15.463562656739885,63.112916630031975,-47.649353973292094,69.67924693643005,-0.4765827393775726,0
551.0594,15.03968927,15.03968927,15.043570915503832,63.09068994684517,-48.04711903134134,69.26022252636926,-0.48361579797110793,0
551.5415,14.6126211,14.6126211,14.625466289409403,63.068473088634505,-48.4430067992251,68.84261999954651,-0.49070471731032755,0
552.0236,14.204693,14.204693,14.209797418977136,63.04626605328948,-48.83646863431234,68.4264393559618,-0.49784437078971894,0
552.5057,13.78610446,13.78610446,13.79711294472757,63.024068838699606,-49.22695589397203,68.01168059561513,-0.5050294997414112,0
552.9879,13.38430779,13.38430779,13.387961507181238,63.00187684153336,-49.61391533435212,67.5983437185065,-0.5122546620239212,0
553.47,12.98919536,12.98919536,12.982891746858684,62.979699264158185,-49.9968075172995,67.18642872463592,-0.5195144225287611,0
553.9521,12.59252851,12.59252851,12.582452304280439,62.95753150120618,-50.37507919692574,66.77593561400336,-0.5268030601975804,0
554.4342,12.18829691,12.18829691,12.187191819967044,62.93537355056681,-50.74818173059977,66.36686438660884,-0.5341147578439215,0
554.9163,11.81130168,11.81130168,11.797658934438878,62.91322541012958,-51.1155664756907,65.95921504245237,-0.5414435507379014,0
555.3984,11.42709066,11.42709066,11.413653380161342,62.89108707778398,-51.47743369762264,65.55298758153393,-0.5487914555550586,0
555.8806,11.04307351,11.04307351,11.03819796876514,62.868953962408284,-51.830755993643145,65.14818200385352,-0.5561252704051953,0
556.3627,10.64571554,10.64571554,10.670962254566058,62.84683524194776,-52.1758729873817,64.74479830941117,-0.5634479817689989,0
556.8448,10.29916395,10.29916395,10.311069923733111,62.82472632324688,-52.51365639951376,64.34283649820685,-0.5707685392412798,0
557.3269,9.964740718,9.964740718,9.959451206418635,62.802627204195154,-52.84317599777652,63.94229657024056,-0.5780760581674816,0
557.809,9.613763701,9.613763701,9.616889954005433,62.780537882682054,-53.163647928676625,63.54317852551232,-0.5853610204891314,0
558.2911,9.260538839,9.260538839,9.285263110137834,62.758458356597075,-53.47319524645924,63.14548236402211,-0.5926013478856428,0
558.7733,8.950945967,8.950945967,8.963586797590926,62.73638404701249,-53.772797249421565,62.749208085769936,-0.5998068086715157,0
559.2554,8.65075597,8.65075597,8.650648538346733,62.714324107482945,-54.06367556913621,62.35435569075581,-0.6069901911365723,0
559.7375,8.339602041,8.339602041,8.346765643443174,62.69227395704955,-54.34550831360637,61.96092517897972,-0.6141468806528491,0
560.2196,8.067279055,8.067279055,8.053725189384988,62.67023359360178,-54.61650840421679,61.56891655044167,-0.6212552083918629,0
560.7017,7.783101606,7.783101606,7.769625319412452,62.648203015029154,-54.8785776956167,61.17832980514166,-0.6283358777199967,0
561.1838,7.49290175,7.49290175,7.494618129897908,62.626182219221135,-55.13156408932323,60.78916494307968,-0.6353860775990325,0
561.666,7.226881933,7.226881933,7.226092491173166,62.60416663942824,-55.37807414825508,60.401421964255746,-0.6424354394226454,0
562.1481,6.981448305,6.981448305,6.966480164368984,62.582165404846,-55.61568524047702,60.01510086866985,-0.6494547115093338,0
562.6302,6.726011067,6.726011067,6.716225502535055,62.56017394669644,-55.843948444161384,59.63020165632199,-0.6564374479667677,0
563.1123,6.463095541,6.463095541,6.47294321520423,62.53819226286897,-56.065249047664736,59.24672432721216,-0.6634110923701321,0
563.5944,6.225161726,6.225161726,6.235228403463795,62.51622035125314,-56.280991947789346,58.86466888134038,-0.670391950565091,0
564.0765,6.013253823,6.013253823,6.007122997024767,62.49425820973842,-56.48713521271365,58.48403531870664,-0.6773304591005738,0
564.5587,5.79452646,5.79452646,5.787514183240199,62.47230128373777,-56.68478710049757,58.104823639310936,-0.6842388533283127,0
565.0408,5.579176784,5.579176784,5.5752779153964624,62.4503586781192,-56.87508076272274,57.727033843153265,-0.6911300021120941,0
565.5229,5.386933866,5.386933866,5.37508030761451,62.42842583626976,-57.05334552865525,57.35066593023364,-0.6979450804037319,0
566.005,5.191545625,5.191545625,5.186397276495519,62.40650275607897,-57.22010547958345,56.97571990055205,-0.7046886180908886,0
566.4871,5.007754414,5.007754414,5.008260551349068,62.38458943543626,-57.376328884087194,56.60219575410849,-0.7113708621909668,0
566.9692,4.835324319,4.835324319,4.841475241641977,62.36268587223117,-57.521210630589195,56.23009349090299,-0.7179798922344067,0
567.4514,4.675370658,4.675370658,4.688415461742012,62.34078752402336,-57.65237206228135,55.85941311093551,-0.7244834286826619,0
567.9335,4.537123931,4.537123931,4.547990482182353,62.31890347138479,-57.770912989202444,55.49015461420608,-0.7308929658403635,0
568.4156,4.416860158,4.416860158,4.420994135094418,62.29702916985184,-57.87603503475742,55.122318000714685,-0.7371958087061646,0
568.8977,4.287231744,4.287231744,4.306949654809358,62.275164617314005,-57.968214962504646,54.75590327046132,-0.7433955139707384,0
569.3798,4.195721427,4.195721427,4.207854744370981,62.253309811660785,-58.0454550672898,54.390910423446,-0.7494633665055407,0
569.8619,4.126633485,4.126633485,4.122656430102268,62.23146475078164,-58.10880832067937,54.027339459668724,-0.7554100882077822,0
570.3441,4.04963903,4.04963903,4.050745183703772,62.209624904367274,-58.1588797206635,53.665190379129484,-0.761240769323449,0
570.8262,3.983342869,3.983342869,3.9909695099679117,62.18779932872502,-58.19682981875711,53.30446318182828,-0.7669680761397979,0
