wavenumber_cm1,normalized_observed,normalized_fitted,residual
550.0952,-0.4696105389666624,-0.5620817877446309,0.09247124877796853
550.5773,-0.4765827393775726,-0.5678200704137448,0.09123733103617221
551.0594,-0.48361579797110793,-0.5735725787372286,0.08995678076612063
551.5415,-0.49070471731032755,-0.5793389675458727,0.08863425023554511
552.0236,-0.49784437078971894,-0.585118881713246,0.08727451092352706
552.5057,-0.5050294997414112,-0.5909119559257883,0.08588245618437707
552.9879,-0.5122546620239212,-0.5967180446533666,0.08446338262944542
553.47,-0.5195144225287611,-0.6025362929726135,0.08302187044385234
553.9521,-0.5268030601975804,-0.6083665417704438,0.08156348157286342
554.4342,-0.5341147578439215,-0.6142083825878886,0.08009362474396708
554.9163,-0.5414435507379014,-0.6200613955568266,0.0786178448189252
555.3984,-0.5487914555550586,-0.625925149140302,0.07713369358524336
555.8806,-0.5561252704051953,-0.6317993793657138,0.07567410896051852
556.3627,-0.5634479817689989,-0.6376832626360258,0.07423528086702691
556.8448,-0.5707685392412798,-0.6435765190871077,0.07280797984582787
557.3269,-0.5780760581674816,-0.649478667809377,0.07140260964189538
557.809,-0.5853610204891314,-0.655389214849937,0.07002819436080554
558.2911,-0.5926013478856428,-0.6613076529220663,0.0687063050364235
558.7733,-0.5998068086715157,-0.6672335848939652,0.06742677622244952
559.2554,-0.6069901911365723,-0.6731662185535856,0.06617602741701334
559.7375,-0.6141468806528491,-0.6791051382423743,0.06495825758952523
560.2196,-0.6212552083918629,-0.6850497803195605,0.06379457192769766
560.7017,-0.6283358777199967,-0.6909995662747024,0.06266368855470572
561.1838,-0.6353860775990325,-0.6969539024036899,0.06156782480465739
561.666,-0.6424354394226454,-0.7029122422410526,0.06047680281840728
562.1481,-0.6494547115093338,-0.708873824470633,0.0594191129612992
562.6302,-0.6564374479667677,-0.7148380811218381,0.05840063315507038
563.1123,-0.6634110923701321,-0.7208043543657977,0.057393261995665634
563.5944,-0.670391950565091,-0.7267719694776419,0.056380018912550844
564.0765,-0.6773304591005738,-0.7327402344788843,0.05540977537831049
564.5587,-0.6842388533283127,-0.7387084358834906,0.054469582555177865
565.0408,-0.6911300021120941,-0.7446758422159988,0.05354584010390473
565.5229,-0.6979450804037319,-0.7506417151584783,0.052696634754746396
566.005,-0.7046886180908886,-0.7566052900330864,0.051916671942197845
566.4871,-0.7113708621909668,-0.7625657830392383,0.051194920848271486
566.9692,-0.7179798922344067,-0.7685223908632819,0.050542498628875165
567.4514,-0.7244834286826619,-0.7744742137849043,0.04999078510224242
567.9335,-0.7308929658403635,-0.7804205485670542,0.04952758272669078
568.4156,-0.7371958087061646,-0.7863604669927002,0.0491646582865356
568.8977,-0.7433955139707384,-0.7922930836895121,0.04889756971877368
569.3798,-0.7494633665055407,-0.7982174917446769,0.04875412523913625
569.8619,-0.7554100882077822,-0.804132762284397,0.04872267407661479
570.3441,-0.761240769323449,-0.8100377886583825,0.04879701933493352
570.8262,-0.7669680761397979,-0.8159318937916646,0.04896381765186675
571.3083,-0.7725885115278307,-0.8218139385684977,0.049225427040667014
571.7904,-0.7781478999583133,-0.8276829019797429,0.049535002021429575
572.2725,-0.7836462727345643,-0.8335377388896723,0.04989146615510798
572.7546,-0.7891004368321447,-0.8393773795912574,0.05027694275911265
573.2368,-0.794491853820328,-0.8452004884567046,0.05070863463637654
573.7189,-0.7998525365484641,-0.8510064121746099,0.05115387562614582
574.201,-0.8051818444060491,-0.8567937784464856,0.05161193404043651
574.6831,-0.8104732017165446,-0.862561414770139,0.052088213053594457
575.1652,-0.8156798254934913,-0.8683081218051296,0.052628296311638345
575.6473,-0.8208146747049343,-0.8740326729131804,0.05321799820824613
576.1295,-0.8258629855961926,-0.8797334803380448,0.053870494741852126
576.6116,-0.8307741195800468,-0.8854099120709068,0.054635792490860036
577.0937,-0.8355369785835666,-0.8910603393545853,0.055523360771018715
577.5758,-0.8401087665155613,-0.8966834217393194,0.05657465522375804
578.0579,-0.8444812522141415,-0.902277789167774,0.057796536953632516
578.54,-0.8486298739592019,-0.9078420415145887,0.05921216755538683
579.0222,-0.8525579474981387,-0.9133743150478847,0.06081636754974595
579.5043,-0.8562520339925144,-0.9188739969432709,0.0626219629507565
579.9864,-0.8597158563278486,-0.9243391781841825,0.0646233218563339
580.4685,-0.8630049732836323,-0.9297683338090461,0.06676336052541376
580.9506,-0.8660682511360586,-0.935159906524061,0.06909165538800244
581.4327,-0.8689602476875634,-0.940512306262309,0.07155205857474556
581.9149,-0.8716744667610216,-0.9458233693863851,0.07414890262536356
582.397,-0.8742313239190321,-0.9510925010787612,0.07686117715972907
582.8791,-0.8766716438476327,-0.9563174884279549,0.0796458445803222
583.3612,-0.8790111432165228,-0.961496606002424,0.08248546278590119
583.8433,-0.8812404638800961,-0.966628093502331,0.0853876296222349
584.3254,-0.883372149544784,-0.9717101553688842,0.08833800582410012
584.8076,-0.8854330728632664,-0.9767403049269459,0.09130723206367941
585.2897,-0.8874283548290961,-0.9817179659658941,0.09428961113679801
585.7718,-0.8893275645393436,-0.9866405991861842,0.0973130346468406
586.2539,-0.8911124316980733,-0.9915062643313572,0.10039383263328394
586.736,-0.8928077190559829,-0.9963129841294889,0.10350526507350599
587.2181,-0.8943638918706356,-1.0010587439895775,0.10669485211894192
587.7003,-0.8958050989294947,-1.0057407130714406,0.10993561414194597
588.1824,-0.8970307802216618,-1.0103583372881697,0.11332755706650788
588.6645,-0.8980730913222237,-1.0149087309229565,0.11683563960073284
589.1466,-0.8988812683299925,-1.019389727489056,0.1205084591590635
