wavenumber_cm1,normalized_observed,normalized_fitted,residual
550.0952,-0.4696105389666624,-1.1068703099342685,0.6372597709676061
550.5773,-0.4765827393775726,-1.1044209123783988,0.6278381730008262
551.0594,-0.48361579797110793,-1.1019106822949658,0.6182948843238578
551.5415,-0.49070471731032755,-1.0993397759482817,0.6086350586379541
552.0236,-0.49784437078971894,-1.0967083529138404,0.5988639821241215
552.5057,-0.5050294997414112,-1.0940165760684988,0.5889870763270876
552.9879,-0.5122546620239212,-1.0912640345200555,0.5790093724961343
553.47,-0.5195144225287611,-1.0884520394072554,0.5689376168784943
553.9521,-0.5268030601975804,-1.0855801988576024,0.558777138660022
554.4342,-0.5341147578439215,-1.0826486888523112,0.5485339310083898
554.9163,-0.5414435507379014,-1.0796576886221834,0.538214137884282
555.3984,-0.5487914555550586,-1.0766073806367118,0.5278159250816532
555.8806,-0.5561252704051953,-1.0734972994968854,0.5173720290916901
556.3627,-0.5634479817689989,-1.0703289241040528,0.5068809423350539
556.8448,-0.5707685392412798,-1.067101807725186,0.49633326848390613
557.3269,-0.5780760581674816,-1.063816145672821,0.48574008750533937
557.809,-0.5853610204891314,-1.0604721364411092,0.47511111595197775
558.2911,-0.5926013478856428,-1.057069981693889,0.4644686338082463
558.7733,-0.5998068086715157,-1.053609162543239,0.4538023538717234
559.2554,-0.6069901911365723,-1.0500913224210724,0.4431011312845001
559.7375,-0.6141468806528491,-1.0465159607151948,0.43236908006234576
560.2196,-0.6212552083918629,-1.0428832916460395,0.42162808325417667
560.7017,-0.6283358777199967,-1.039193532541477,0.4108576548214803
561.1838,-0.6353860775990325,-1.035446903823861,0.4000608262248284
561.666,-0.6424354394226454,-1.0316428342388655,0.38920739481622013
562.1481,-0.6494547115093338,-1.027783128195173,0.3783284166858393
562.6302,-0.6564374479667677,-1.0238672322882358,0.3674297843214681
563.1123,-0.6634110923701321,-1.0198953791860468,0.3564842868159147
563.5944,-0.670391950565091,-1.015867804583801,0.34547585401870995
564.0765,-0.6773304591005738,-1.0117847471899368,0.33445428808936306
564.5587,-0.6842388533283127,-1.007645584608434,0.3234067312801213
565.0408,-0.6911300021120941,-1.0034522783568198,0.31232227624472575
565.5229,-0.6979450804037319,-0.9992042234281174,0.3012591430243855
566.005,-0.7046886180908886,-0.9949016704416156,0.29021305235072703
566.4871,-0.7113708621909668,-0.9905448729576656,0.2791740107666988
566.9692,-0.7179798922344067,-0.9861340874627798,0.268154195228373
567.4514,-0.7244834286826619,-0.9816686417435172,0.2571852130608553
567.9335,-0.7308929658403635,-0.9771506502524856,0.24625768441212215
568.4156,-0.7371958087061646,-0.9725794576707547,0.23538364896459008
568.8977,-0.7433955139707384,-0.9679553320377583,0.22455981806701986
569.3798,-0.7494633665055407,-0.9632785442421536,0.21381517773661296
569.8619,-0.7554100882077822,-0.9585493680059917,0.20313927979820945
570.3441,-0.761240769323449,-0.9537670827194422,0.19252631339599324
570.8262,-0.7669680761397979,-0.9489339512994559,0.181965875159658
571.3083,-0.7725885115278307,-0.9440492695034265,0.1714607579755958
571.7904,-0.7781478999583133,-0.9391133222260213,0.16096542226770794
572.2725,-0.7836462727345643,-0.9341263971137886,0.1504801243792243
572.7546,-0.7891004368321447,-0.9290887845484168,0.1399883477162721
573.2368,-0.794491853820328,-0.9239997170384877,0.12950786321815966
573.7189,-0.7998525365484641,-0.9188616012069901,0.11900906465852601
574.201,-0.8051818444060491,-0.9136736853707939,0.10849184096474473
574.6831,-0.8104732017165446,-0.9084362706823267,0.09796306896578211
575.1652,-0.8156798254934913,-0.9031496609432379,0.08746983544974662
575.6473,-0.8208146747049343,-0.8978141625868062,0.07699948788187194
576.1295,-0.8258629855961926,-0.8924289628453876,0.066565977249195
576.6116,-0.8307741195800468,-0.8869966070121582,0.056222487432111445
577.0937,-0.8355369785835666,-0.8815162975383661,0.045979318954799564
577.5758,-0.8401087665155613,-0.8759883512053976,0.03587958468983632
578.0579,-0.8444812522141415,-0.8704130873361224,0.02593183512198094
578.54,-0.8486298739592019,-0.8647908277764557,0.016160953817253798
579.0222,-0.8525579474981387,-0.8591207161751312,0.006562768676992459
579.5043,-0.8562520339925144,-0.8534054311926216,-0.0028466027998927945
579.9864,-0.8597158563278486,-0.8476441310778987,-0.012071725249949927
580.4685,-0.8630049732836323,-0.8418371475825129,-0.021167825701119414
580.9506,-0.8660682511360586,-0.8359848148868766,-0.030083436249181972
581.4327,-0.8689602476875634,-0.8300874695810415,-0.0388727781065219
581.9149,-0.8716744667610216,-0.8241442135064079,-0.047530253254613686
582.397,-0.8742313239190321,-0.8181578531318748,-0.0560734707871573
582.8791,-0.8766716438476327,-0.8121275042524642,-0.06454413959516858
583.3612,-0.8790111432165228,-0.80605351290245,-0.07295763031407287
583.8433,-0.8812404638800961,-0.7999362274277124,-0.08130423645238372
584.3254,-0.883372149544784,-0.79377599846576,-0.08959615107902408
584.8076,-0.8854330728632664,-0.7875718879069717,-0.0978611849562947
585.2897,-0.8874283548290961,-0.7813268242253262,-0.10610153060376992
585.7718,-0.8893275645393436,-0.7750398825915923,-0.1142876819477513
586.2539,-0.8911124316980733,-0.768711422608097,-0.12240100908997631
586.736,-0.8928077190559829,-0.7623418060671436,-0.13046591298883925
587.2181,-0.8943638918706356,-0.7559313969302931,-0.1384324949403425
587.7003,-0.8958050989294947,-0.7494792190693765,-0.14632587986011814
588.1824,-0.8970307802216618,-0.7429883169276665,-0.1540424632939953
588.6645,-0.8980730913222237,-0.7364577269589129,-0.1616153643633108
