wavenumber_cm1,normalized_observed,normalized_fitted,residual
550.0952,-0.48894410293083246,-0.8903964120503876,0.4014523091195551
550.5773,-0.4955862924809512,-0.8920003347929768,0.3964140423120256
551.0594,-0.5022321438718427,-0.8936289829835975,0.3913968391117548
551.5415,-0.5088829968885329,-0.895280261906025,0.38639726501749216
552.0236,-0.5155402273481289,-0.8969520374565029,0.381411810108374
552.5057,-0.5222052479781737,-0.8986421372982786,0.3764368893201049
552.9879,-0.5288794620298924,-0.9003487074673485,0.3714692454374561
553.47,-0.5355644530436889,-0.9020687944902966,0.3665043414466077
553.9521,-0.5422617029834333,-0.9038004707795021,0.36153876779606875
554.4342,-0.5489727814453752,-0.905541423019527,0.3565686415741518
554.9163,-0.5556992996655469,-0.9072893057405362,0.35159000607498936
555.3984,-0.5624571501810506,-0.9090417425907318,0.3465845924096812
555.8806,-0.5692480960053987,-0.9107966916274308,0.3415485956220321
556.3627,-0.57606947561795,-0.9125509903049649,0.3364815146870149
556.8448,-0.5829276947017272,-0.9143025412327757,0.33137484653104843
557.3269,-0.5897915138005912,-0.9160488575885901,0.32625734378799887
557.809,-0.5966554400291127,-0.9177874282784069,0.3211319882492941
558.2911,-0.6034894806222224,-0.9195157193033086,0.31602623868108615
558.7733,-0.6103015115550892,-0.9212315294601794,0.31093001790509023
559.2554,-0.6170897448601689,-0.9229315709868524,0.30584182612668354
559.7375,-0.6238115577496681,-0.9246136067457593,0.3008020489960912
560.2196,-0.6304640781318527,-0.926275025038432,0.2958109469065793
560.7017,-0.6370415186849232,-0.92791319828119,0.2908716795962668
561.1838,-0.6435552249813266,-0.9295254844410616,0.2859702594597351
561.666,-0.6500051681958036,-0.9311095538450591,0.28110438564925555
562.1481,-0.6563825063262636,-0.9326620824248624,0.27627957609859877
562.6302,-0.6626708377933253,-0.9341807250601412,0.2715098872668159
563.1123,-0.6689142611616641,-0.9356627964464505,0.26674853528478637
563.5944,-0.6750749951114587,-0.9371056041295326,0.26203060901807385
564.0765,-0.6811864728775553,-0.9385064499838242,0.25731997710626886
564.5587,-0.6872487300841411,-0.9398629081822875,0.25261417809814635
565.0408,-0.6932454661797469,-0.9411717106292816,0.2479262444495347
565.5229,-0.6991689256676221,-0.9424304371289117,0.2432615114612896
566.005,-0.7050503059679291,-0.9436363817333357,0.2385860757654067
566.4871,-0.7108668739104546,-0.9447868402678264,0.2339199663573719
566.9692,-0.716606710225854,-0.9458791118245423,0.22927240159868834
567.4514,-0.7222505236642202,-0.9469107076909629,0.2246601840267427
567.9335,-0.727797792825626,-0.9478785096383161,0.22008071681269015
568.4156,-0.7333416691362471,-0.9487800558614947,0.21543838672524762
568.8977,-0.7387734621323436,-0.9496126734459124,0.21083921131356875
569.3798,-0.7441182816474395,-0.9503737001957271,0.20625541854828755
569.8619,-0.7493844149454273,-0.9510604861153126,0.20167607116988528
570.3441,-0.7545747752310616,-0.9516705132404704,0.19709573800940872
570.8262,-0.7597101298733588,-0.9522009069310364,0.1924907770576776
571.3083,-0.7647633926419407,-0.9526491972066451,0.18788580456470438
571.7904,-0.7697251599466693,-0.9530127975852779,0.18328763763860856
572.2725,-0.774558569729087,-0.9532891411067782,0.17873057137769122
572.7546,-0.7792897443339615,-0.953475681774654,0.17418593744069255
573.2368,-0.7839083358949952,-0.9535699057803478,0.16966156988535264
573.7189,-0.7883957543042701,-0.9535692738320061,0.16517351952773596
574.201,-0.7927498526478862,-0.95347134058708,0.16072148793919383
574.6831,-0.7969633506653485,-0.9532736581317797,0.15631030746643115
575.1652,-0.8010486893002977,-0.9529738065721705,0.15192511727187274
575.6473,-0.8050253339805072,-0.9525693954096676,0.14754406142916032
576.1295,-0.8088679813869477,-0.952057947587017,0.1431899662000693
576.6116,-0.8126213673885547,-0.951437347199897,0.1388159798113423
577.0937,-0.8162715274191714,-0.9507052051611199,0.13443367774194848
577.5758,-0.8198565482207046,-0.9498592620339861,0.13000271381328143
578.0579,-0.8234121530847613,-0.948897294437511,0.12548514135274969
578.54,-0.8268252342495538,-0.9478171163301823,0.1209918820806285
579.0222,-0.8302123579374013,-0.9466163186221229,0.11640396068472159
579.5043,-0.8335583491133314,-0.9452932914203352,0.11173494230700387
579.9864,-0.8368197594135214,-0.9438457317646022,0.1070259723510808
580.4685,-0.8399897291620175,-0.94227161545506,0.10228188629304247
580.9506,-0.8430030611812137,-0.940568961772726,0.09756590059151227
581.4327,-0.8458822935570383,-0.9387358346477793,0.09285354109074107
581.9149,-0.8485450669333343,-0.9367699222538434,0.08822485532050905
582.397,-0.8510001427153958,-0.9346701963172832,0.0836700536018874
582.8791,-0.8532779647419665,-0.9324344676144113,0.0791565028724448
583.3612,-0.855325156062583,-0.9300609899281645,0.07473583386558158
583.8433,-0.8571982806015924,-0.9275480671994706,0.07034978659787816
584.3254,-0.8588784472973818,-0.9248940545584158,0.06601560726103395
584.8076,-0.8603594205160975,-0.9220967643152836,0.06173734379918616
585.2897,-0.8617107797125184,-0.9191558169317858,0.057445037219267414
585.7718,-0.8629907093903183,-0.9160691617957653,0.05307845240544695
586.2539,-0.8641706799821671,-0.9128353686139598,0.04866468863179263
586.736,-0.8652518713295302,-0.9094530630564632,0.04420119172693304
587.2181,-0.8662131652657493,-0.905920927631667,0.039707762365917665
587.7003,-0.8671261453226199,-0.9022369227801462,0.03511077745752633
588.1824,-0.867955144552964,-0.898401374997711,0.030446230444747036
588.6645,-0.8687095386456465,-0.8944123940038112,0.025702855358164745
589.1466,-0.8693384553733545,-0.8902688978617257,0.02093044248837117
