wavenumber_cm1,reflectance_input,reflectance_hampel_cleaned,reflectance_smoothed,baseline,detrended_residual,amplitude_envelope,normalized_fringe,is_hampel_outlier
1500.347,15.04108176,15.04108176,15.058465513371917,16.16749246596793,-1.109026952596011,0.8634585977008497,-0.821349325983115,0
1500.829,15.04691627,15.04691627,15.048848477338604,16.169259134310234,-1.1204106569716306,0.8570396408650467,-0.8358480365039003,0
1501.311,15.04914636,15.04914636,15.045921090414774,16.171025009729906,-1.1251039193151318,0.8506669253258164,-0.8455407501924748,0
1501.793,15.04933797,15.04933797,15.049017010722494,16.172790092440774,-1.12377308171828,0.8443404510831588,-0.85081666144819,0
1502.276,15.07849448,15.07849448,15.057469896383832,16.174558042186167,-1.1170881458023345,0.8380602181370737,-0.8520809862697931,0
1502.758,15.10563608,15.10563608,15.070613405520856,16.17632153847741,-1.1057081329565541,0.8318262264875612,-0.8497442045754726,0
1503.24,15.0937209,15.0937209,15.08778119625563,16.178084242701793,-1.090303046446163,0.8256384761346213,-0.8442388701746422,0
1503.722,15.10250131,15.10250131,15.108306926710226,16.179846155073143,-1.0715392283629175,0.819496967078254,-0.8360088944353258,0
1504.204,15.12569117,15.12569117,15.131524255006708,16.181607275805302,-1.0500830207985938,0.8134016993184594,-0.8255125753964063,0
1504.686,15.13802249,15.13802249,15.156766839267146,16.183367605112096,-1.0266007658449503,0.8073526728552374,-0.8132228824714168,0
1505.168,15.15909479,15.15909479,15.183368337613402,16.18512714320736,-1.0017588055939584,0.8013498876885878,-0.7996277414959914,0
1505.65,15.19678177,15.19678177,15.209338450261326,16.186885890304932,-0.9775474400436064,0.795393343818511,-0.7862840796259589,0
1506.133,15.21975853,15.21975853,15.234770815913498,16.188647493009036,-0.953876677095538,0.7894830412450068,-0.7731277712658335,0
1506.615,15.25016038,15.25016038,15.260351026684994,16.190404657112747,-0.9300536304277536,0.7836189799680752,-0.7596056187864826,0
1507.097,15.30329425,15.30329425,15.281766493223076,16.192161030860703,-0.910394537637627,0.7778011599877162,-0.7492248242189083,0
1507.579,15.34065122,15.34065122,15.303210417371492,16.19391661446674,-0.8907061970952483,0.7720295813039297,-0.7386198321112681,0
1508.061,15.34598645,15.34598645,15.3239979162829,16.19567140814469,-0.8716734918617899,0.7663042439167158,-0.7283532986860369,0
1508.543,15.37924244,15.37924244,15.341836246698069,16.197425412108384,-0.8555891654103149,0.7606251478260746,-0.7203429845586106,0
1509.025,15.37162031,15.37162031,15.357906599238113,16.199178626571655,-0.8412720273335417,0.7549922930320061,-0.713650838906259,0
1509.507,15.35812062,15.35812062,15.369310893026931,16.20093105174834,-0.8316201587214103,0.7494056795345101,-0.7107560021659641,0
1509.99,15.36211584,15.36211584,15.379111348296629,16.202686321131978,-0.823574972835349,0.7438653073335867,-0.7091415599389512,0
1510.471,15.37072552,15.37072552,15.384592021879499,16.204433535097273,-0.8198415132177743,0.7383711764292359,-0.7111558952387723,0
1510.954,15.38256684,15.38256684,15.389016036475773,16.206187223704518,-0.8171711872287446,0.7329232868214577,-0.7140742425847285,0
1511.436,15.36755091,15.36755091,15.392159040973976,16.20793649223765,-0.8157774512636742,0.7275216385102521,-0.7181020970995329,0
1511.918,15.39992113,15.39992113,15.39275179597561,16.209684972553802,-0.8169331765781926,0.7221662314956191,-0.7243794083048087,0
1512.4,15.40352216,15.40352216,15.396490726841906,16.21143266486681,-0.8149419380249032,0.7168570657775588,-0.7279247826344036,0
1512.882,15.41722966,15.41722966,15.403126899231575,16.2131795693905,-0.8100526701589263,0.711594141356071,-0.72889784396182,0
1513.364,15.41577371,15.41577371,15.408068739035432,16.214925686338713,-0.806856947303281,0.7063774582311558,-0.7313559468409084,0
1513.846,15.39954714,15.39954714,15.416632083066158,16.21667101592528,-0.8000389328591204,0.7012070164028132,-0.7305324835946809,0
1514.328,15.43647807,15.43647807,15.42549523385073,16.218415558364025,-0.792920324513295,0.6960828158710434,-0.729375478055789,0
1514.811,15.41984482,15.41984482,15.433990408348933,16.22016293080094,-0.7861725224520058,0.691004856635846,-0.7284928480065634,0
1515.293,15.44678265,15.44678265,15.443823086671912,16.22190589795358,-0.7780828112816671,0.6859731386972213,-0.7263102450581728,0
1515.775,15.45481957,15.45481957,15.45465800286348,16.223648078600352,-0.7689900757368715,0.6809876620551691,-0.7231143353481435,0
1516.257,15.45611322,15.45611322,15.466474422536574,16.225389472955083,-0.7589150504185085,0.6760484267096897,-0.7189027733066572,0
1516.739,15.49317748,15.49317748,15.47825517111454,16.227130081231607,-0.7488749101170669,0.6711554326607827,-0.7146134549641623,0
1517.221,15.49224433,15.49224433,15.4929913107811,16.228869903643762,-0.7358785928626617,0.6663086799084484,-0.7074037220907361,0
1517.703,15.49130323,15.49130323,15.509732233837653,16.230608940405375,-0.7208767065677222,0.6615081684526867,-0.6981206310769775,0
1518.185,15.53436664,15.53436664,15.52894478138587,16.23234719173028,-0.7034024103444096,0.6567538982934976,-0.6862706741764373,0
1518.667,15.5461028,15.5461028,15.55104415095436,16.234084657832316,-0.6830405068779566,0.6520458694308812,-0.6713971129518175,0
1519.15,15.56915056,15.56915056,15.571726364288782,16.235824941182248,-0.6640985768934655,0.6473840818648372,-0.6576494829366284,0
1519.632,15.59257803,15.59257803,15.595776634507807,16.23756083585205,-0.6417842013442439,0.642768535595366,-0.6403351666591627,0
1520.114,15.6061188,15.6061188,15.618485571444714,16.23929594594092,-0.620810374496207,0.6381992306224673,-0.6240556341865725,0
