frequency_per_corrected_cm1,amplitude,equivalent_thickness_um,is_candidate,candidate_rank,is_selected_fundamental
0.0,0.5312668504463454,0.0,0,-1,0
0.000149844872680355,22.73624224876227,0.749224363401775,0,-1,0
0.00029968974536071,22.69989648633109,1.49844872680355,0,-1,0
0.000449534618041065,20.26583015193507,2.2476730902053252,0,-1,0
0.00059937949072142,27.169377406592094,2.9968974536071,0,-1,0
0.000749224363401775,20.010218833257465,3.746121817008875,0,-1,0
0.00089906923608213,15.840693209193248,4.4953461804106505,0,-1,0
0.001048914108762485,23.467850532404814,5.244570543812426,0,-1,0
0.00119875898144284,41.47398327936068,5.9937949072142,0,-1,0
0.001348603854123195,621.7330770394257,6.743019270615975,0,-1,0
0.00149844872680355,1106.944418095578,7.49224363401775,1,1,1
0.0016482935994839051,498.0161984542996,8.241467997419525,0,-1,0
0.00179813847216426,23.71563523371251,8.990692360821301,0,-1,0
0.001947983344844615,31.217505014848943,9.739916724223075,0,-1,0
0.00209782821752497,22.42571766427192,10.489141087624851,0,-1,0
0.002247673090205325,32.160641509127046,11.238365451026624,0,-1,0
0.00239751796288568,39.1009622237024,11.9875898144284,0,-1,0
0.0025473628355660353,18.186244566532384,12.736814177830176,0,-1,0
0.00269720770824639,22.898337742151146,13.48603854123195,0,-1,0
0.002847052580926745,8.040768765696862,14.235262904633727,0,-1,0
0.0029968974536071,28.113794383515856,14.9844872680355,0,-1,0
0.003146742326287455,27.765890530007063,15.733711631437275,0,-1,0
0.0032965871989678102,20.637538110614774,16.48293599483905,0,-1,0
0.003446432071648165,28.060231014284945,17.232160358240826,0,-1,0
0.00359627694432852,27.180583584661836,17.981384721642602,0,-1,0
0.0037461218170088753,16.81929887449827,18.730609085044378,0,-1,0
0.00389596668968923,7.906597808384702,19.47983344844615,0,-1,0
0.004045811562369585,14.815538236296229,20.229057811847923,0,-1,0
0.00419565643504994,45.42359896916918,20.978282175249703,0,-1,0
0.004345501307730295,185.73052774992752,21.727506538651475,0,-1,0
0.00449534618041065,264.43012140404227,22.476730902053248,1,2,0
0.0046451910530910055,113.9720426340871,23.225955265455028,0,-1,0
0.00479503592577136,15.041597272315315,23.9751796288568,0,-1,0
0.004944880798451715,36.82976562302703,24.724403992258576,0,-1,0
0.0050947256711320705,35.43496548357721,25.473628355660352,0,-1,0
0.005244570543812425,36.822575262250474,26.222852719062125,0,-1,0
0.00539441541649278,44.502491665162886,26.9720770824639,1,3,0
0.005544260289173136,23.887896305178298,27.721301445865677,0,-1,0
0.00569410516185349,14.08610367594084,28.470525809267453,0,-1,0
0.005843950034533845,26.222245467866458,29.219750172669226,0,-1,0
0.0059937949072142,26.026197737553854,29.968974536071,0,-1,0
0.006143639779894555,32.73802806626851,30.718198899472778,0,-1,0
0.00629348465257491,22.832999587415927,31.46742326287455,0,-1,0
0.006443329525255265,29.43484668727957,32.21664762627633,0,-1,0
0.0065931743979356205,32.648414145360775,32.9658719896781,0,-1,0
0.006743019270615975,24.80527886190947,33.71509635307988,0,-1,0
0.00689286414329633,21.148155874588628,34.46432071648165,0,-1,0
0.0070427090159766855,19.95060636608273,35.213545079883424,0,-1,0
0.00719255388865704,17.78056550000049,35.962769443285204,0,-1,0
0.007342398761337395,18.92167728190049,36.711993806686976,0,-1,0
0.007492243634017751,19.06382197563174,37.461218170088756,0,-1,0
0.007642088506698105,21.884449487629734,38.21044253349053,0,-1,0
0.00779193337937846,13.734801894715163,38.9596668968923,0,-1,0
0.007941778252058815,2.4127129696959293,39.708891260294074,0,-1,0
0.00809162312473917,5.389971710103766,40.458115623695846,0,-1,0
0.008241467997419526,7.375254475487885,41.20733998709763,0,-1,0
0.00839131287009988,9.721473576246936,41.956564350499406,0,-1,0
0.008541157742780235,8.978095863481606,42.70578871390118,0,-1,0
0.00869100261546059,7.02665797743339,43.45501307730295,0,-1,0
0.008840847488140945,14.169725650359982,44.20423744070472,0,-1,0
0.0089906923608213,16.205809372155006,44.953461804106496,0,-1,0
0.009140537233501656,18.031220100696427,45.70268616750828,0,-1,0
0.009290382106182011,11.908443349323157,46.451910530910055,0,-1,0
0.009440226978862366,20.242196615790462,47.20113489431183,0,-1,0
0.00959007185154272,25.42403613732792,47.9503592577136,1,4,0
0.009739916724223075,20.084612243657,48.69958362111537,0,-1,0
0.00988976159690343,19.251180830387714,49.44880798451715,0,-1,0
0.010039606469583785,19.104915700418612,50.198032347918925,0,-1,0
0.010189451342264141,21.99569846601065,50.947256711320705,0,-1,0
0.010339296214944496,12.300043942263889,51.69648107472248,0,-1,0
0.01048914108762485,10.063267270474775,52.44570543812425,0,-1,0
0.010638985960305205,22.08681255359011,53.19492980152603,0,-1,0
0.01078883083298556,23.246142722041437,53.9441541649278,0,-1,0
0.010938675705665915,14.875246198881365,54.693378528329575,0,-1,0
0.011088520578346271,15.327850434602347,55.442602891731354,0,-1,0
0.011238365451026626,19.17960293409042,56.19182725513313,0,-1,0
0.01138821032370698,16.347983163185667,56.94105161853491,0,-1,0
0.011538055196387335,17.88509812916708,57.69027598193668,0,-1,0
0.01168790006906769,17.507014809674555,58.43950034533845,0,-1,0
0.011837744941748045,12.716891916591853,59.188724708740224,0,-1,0
0.0119875898144284,7.858942303811254,59.937949072142,0,-1,0
0.012137434687108756,14.316116823441874,60.687173435543784,0,-1,0
0.01228727955978911,11.861188356163094,61.436397798945556,0,-1,0
0.012437124432469466,6.400417137550954,62.18562216234733,0,-1,0
0.01258696930514982,12.902451367339522,62.9348465257491,0,-1,0
