wavenumber_cm1,reflectance_raw,reflectance_cleaned,reflectance_smoothed,baseline,detrended,envelope,normalized,is_hampel_outlier,in_primary_modeling_range
400.1569,91.48944351,91.48944351,91.32685698161488,66.13071200253106,25.196144979083826,31.93672731775163,0.627956362300242,0,0
400.639,91.23369158,91.23369158,91.26363562635233,66.11057819629028,25.15305743006205,31.619745073224976,0.633172706314816,0,0
401.1211,91.0084648,91.0084648,91.13814022086004,66.09045176867086,25.047688452189178,31.304860804787083,0.636866536609037,0,0
401.6032,90.84438559,90.84438559,90.95888259850257,66.07033271836228,24.88854988014029,30.992074512437952,0.6392095443295439,0,0
402.0853,90.65157727,90.65157727,90.73437459264444,66.050221044054,24.684153548590444,30.681386196177584,0.6403809996455092,0,0
402.5674,90.45239513,90.45239513,90.47312803665021,66.03011674443552,24.443011292214692,30.372795856005972,0.6405680181721364,0,0
403.0496,90.2320212,90.2320212,90.1836547638844,66.01001565033917,24.173639113545235,30.066303491923126,0.6399659462162768,0,0
403.5317,89.97048972,89.97048972,89.87446660771155,65.98992609769775,23.884540510013807,29.76190910392904,0.6387782033799696,0,0
404.0138,89.65167002,89.65167002,89.55407540149622,65.96984391581431,23.58423148568191,29.45961269202371,0.6372172341900558,0,0
404.4959,89.32589322,89.32589322,89.23099297860291,65.94976910337832,23.281223875224597,29.15941425620715,0.6355043705971202,0,0
404.978,88.98732528,88.98732528,88.91373117239505,65.92970165907926,22.98402951331579,28.861313796479344,0.6338702516382401,0,0
405.4601,88.626402,88.626402,88.63941953880892,65.90964158160664,22.729777957202288,28.5653113128403,0.6333534439522203,0,0
405.9423,88.28210197,88.28210197,88.38890152713518,65.88958471096318,22.499316816171998,28.27140680529002,0.6334493410584612,0,0
406.4244,87.98342003,87.98342003,88.17056945660886,65.86953936473925,22.301030091869606,27.9796002738285,0.6344159997021673,0,0
406.9065,87.76033354,87.76033354,88.00001225010347,65.84950138140992,22.150510868693544,27.689891718455737,0.6367294554297552,0,0
407.3886,87.63351933,87.63351933,87.8767159284003,65.8294707596647,22.0472451687356,27.40228113917174,0.6404169474929603,0,0
407.8707,87.58963063,87.58963063,87.80139597463436,65.80944749819305,21.99194847644131,27.1167685359765,0.6455423654785452,0,0
408.3528,87.66916091,87.66916091,87.76808186425188,65.78943159568445,21.978650268567435,26.833353908870023,0.6519731070345567,0,0
408.835,87.67088502,87.67088502,87.76678069396748,65.76941890130223,21.997361792665245,26.55203725785231,0.6594496795661965,0,0
409.3171,87.74704646,87.74704646,87.78666679759938,65.74941771431396,22.037249083285417,26.272818582923357,0.6676752990676301,0,0
409.7992,87.89649068,87.89649068,87.81342151294099,65.72942388235694,22.08399763058405,25.99569788408316,0.6762333317922696,0,0
410.2813,87.99287745,87.99287745,87.83985518862586,65.70943740412065,22.130417784505212,25.720675161331727,0.6849096892613987,0,0
410.7634,88.05237254,88.05237254,87.84954863084555,65.68945827829457,22.16009035255098,25.447750414669056,0.6931919319748032,0,0
411.2455,88.07654049,88.07654049,87.83296002359808,65.66948650356817,22.16347352002991,25.176923644095147,0.700763178195735,0,0
411.7277,87.96853464,87.96853464,87.78254534554969,65.64951793825557,22.133027407294122,24.90819484961,0.7073571142697074,0,0
412.2098,87.82446216,87.82446216,87.69714638757324,65.62956086332113,22.06758552425211,24.64156403121361,0.7129023607790372,0,0
412.6919,87.61577465,87.61577465,87.57490411594198,65.60961113555459,21.96529298038739,24.37703118890598,0.7173024421101842,0,0
413.174,87.39512686,87.39512686,87.42122703599755,65.58966875364537,21.831558282352177,24.114596322687113,0.7206972408829553,0,0
413.6561,87.18190872,87.18190872,87.24630419595178,65.56973371628303,21.676570479668754,23.854259432557008,0.7233930420232366,0,0
414.1382,86.94144651,86.94144651,87.04390074193414,65.549806022157,21.494094719777138,23.596020518515665,0.7251554388693991,0,0
414.6204,86.76097414,86.76097414,86.82073862868799,65.52988153872239,21.2908570899656,23.33987958056308,0.7261826068732553,0,0
415.1025,86.52761181,86.52761181,86.58916053381711,65.50996852865995,21.079192005157154,23.08583661869926,0.7268755325509595,0,0
415.5846,86.34454595,86.34454595,86.357400832552,65.49006285790202,20.867337974649985,22.833891632924196,0.72751036975495,0,0
416.0667,86.15841654,86.15841654,86.13255024316985,65.47016452513809,20.662385718031757,22.584044623237894,0.72833518121549,0,0
416.5488,85.97936033,85.97936033,85.9202215064814,65.45027352905763,20.46994797742377,22.336295589640358,0.7295563419347784,0,0
417.0309,85.76688539,85.76688539,85.72411346543531,65.43038986835012,20.29372359708519,22.090644532131577,0.7313202615053727,0,0
417.5131,85.59217925,85.59217925,85.54612229396423,65.4105094196019,20.135612874362337,21.847091450711563,0.733714050680181,0,0
417.9952,85.38879818,85.38879818,85.38860100359483,65.39064042722963,19.9979605763652,21.605636345380304,0.7368447905537558,0,0
418.4773,85.17922026,85.17922026,85.25296918653697,65.3707787662985,19.882190420238473,21.366279216137812,0.7407896396223618,0,0
418.9594,85.02135181,85.02135181,85.13987530781517,65.350924435498,19.788950872317173,21.129020062984075,0.7455995459694317,0,0
419.4415,84.92244488,84.92244488,85.04571192331699,65.33107743351759,19.714634489799394,20.8938588859191,0.7511649513060091,0,0
419.9236,84.87223699,84.87223699,84.97296192888743,65.31123775904678,19.661724169840653,20.66079568494289,0.7576057170706898,0,0
420.4058,84.82688022,84.82688022,84.91295039098941,65.29140129779333,19.62154909319608,20.42983046005544,0.7646116233491185,0,0
420.8879,84.81161416,84.81161416,84.86485841635718,65.27157627592938,19.593282140427803,20.20096321125675,0.7721672455234427,0,0
