n_scale,kappa_offset,thickness_um,rmse,bic,success
1.0,0.0,7.654008416462212,0.6282940690186145,-1141.9658873874646,True
1.0,0.01,7.596051015589999,0.3822023937501909,-2432.3285196817687,True
1.0,0.03,7.600132291909408,0.306378171701276,-3006.382261162253,True
1.02,0.0,7.430067560811815,0.2677188235630805,-3356.538347969472,True
1.02,0.01,7.408509635544695,0.2805792320716563,-3234.7369136486395,True
1.02,0.03,7.371380294961764,0.30570168410530596,-3012.120605587562,True
1.04,0.0,7.430192598112839,0.255624431407019,-3476.546135950203,True
1.04,0.01,7.419328313190289,0.2614707520174466,-3417.8424561553,True
1.04,0.03,7.398575549275757,0.27471209147528636,-3289.5969958033584,True
