n_offset,kappa,thickness_um,rmse,bic,success
0.0,0.005,3.543675354450556,0.2928878560842468,-3691.5771829984833,True
0.0,0.02,3.5439828930141766,0.2928568234755918,-3691.9014190893495,True
0.0,0.05,3.5443719409820322,0.2927961421786603,-3692.5355310299165,True
0.04,0.005,3.7532938342565267,0.37104327957358435,-2967.798686807201,True
0.04,0.02,3.6941234234458595,0.34292754693025973,-3208.9252208304324,True
0.04,0.05,3.630798486478704,0.3112023002728767,-3505.977803824085,True
0.08,0.005,3.7651376843965125,0.37540601753561764,-2932.028996272802,True
0.08,0.02,3.7296338655275534,0.36065807293945973,-3054.667096624937,True
0.08,0.05,3.67897912656378,0.33504361567698543,-3280.0961451888043,True
