model,thickness_um,rmse,rss,bic,objective,n_parameters
two_beam,3.626263744475723,0.275038679004558,925.7591128206276,-31472.32657702868,925.759112818776,
harmonic3,3.639242292381166,0.2524075939163722,779.6780048448901,-33423.398742763406,779.6780048433305,29.0
tmm,3.71750809931618,0.33852193397168723,1402.4393071068002,-26426.86988012972,,
