model,thickness_um,rmse,rss,bic,objective,n_parameters
two_beam,7.419187985636658,0.18944699929585335,372.1810166726457,-34383.8108992319,372.18101667190126,
harmonic3,7.540677770226443,0.1406009893606244,205.00077822926318,-40420.1854163504,205.00077822885316,29.0
tmm,7.406633254690582,0.28537456093998204,844.5186971285997,-25923.75921007384,,
