wavenumber_cm1,normalized_observed,normalized_fitted,residual
1500.347,-0.821349325983115,-0.7727329057956438,-0.048616420187471254
1500.829,-0.8358480365039003,-0.777323102400948,-0.05852493410295223
1501.311,-0.8455407501924748,-0.7817496743862851,-0.0637910758061897
1501.793,-0.85081666144819,-0.7860118857489243,-0.06480477569926568
1502.276,-0.8520809862697931,-0.7901173620787569,-0.06196362419103618
1502.758,-0.8497442045754726,-0.7940484330990523,-0.05569577147642035
1503.24,-0.8442388701746422,-0.7978131345243469,-0.046425735650295286
1503.722,-0.8360088944353258,-0.8014108641942125,-0.0345980302411133
1504.204,-0.8255125753964063,-0.8048410535444819,-0.020671521851924446
1504.686,-0.8132228824714168,-0.8081031676552959,-0.005119714816120946
1505.168,-0.7996277414959914,-0.811196705292572,0.011568963796580678
1505.65,-0.7862840796259589,-0.8141211989429618,0.027837119317002834
1506.133,-0.7731277712658335,-0.8168817541879756,0.043753982922142054
1506.615,-0.7596056187864826,-0.8194665395070627,0.059860920720580135
1507.097,-0.7492248242189083,-0.8218810801502792,0.07265625593137082
1507.579,-0.7386198321112681,-0.8241250437761245,0.08550521166485636
1508.061,-0.7283532986860369,-0.8261981318407465,0.0978448331547096
1508.543,-0.7203429845586106,-0.8281000795938688,0.10775709503525821
1509.025,-0.713650838906259,-0.8298306560682911,0.11617981716203207
1509.507,-0.7107560021659641,-0.8313896640629489,0.12063366189698477
1509.99,-0.7091415599389512,-0.8327796396750937,0.12363807973614249
1510.471,-0.7111558952387723,-0.8339923544930986,0.12283645925432629
1510.954,-0.7140742425847285,-0.8350377971645115,0.12096355457978303
1511.436,-0.7181020970995329,-0.8359088766721823,0.1178067795726494
1511.918,-0.7243794083048087,-0.8366079071227764,0.1122284988179677
1512.4,-0.7279247826344036,-0.8371348932693504,0.10921011063494679
1512.882,-0.72889784396182,-0.8374898733346111,0.10859202937279111
1513.364,-0.7313559468409084,-0.8376729189434603,0.10631697210255187
1513.846,-0.7305324835946809,-0.8376841350493451,0.10715165145466421
1514.328,-0.729375478055789,-0.8375236598544507,0.1081481817986617
1514.811,-0.7284928480065634,-0.8371907977789041,0.10869794977234071
1515.293,-0.7263102450581728,-0.8366871319572136,0.1103768868990408
1515.775,-0.7231143353481435,-0.8360123885706252,0.1128980532224817
1516.257,-0.7189027733066572,-0.8351668379641528,0.11626406465749561
1516.739,-0.7146134549641623,-0.8341507832409784,0.11953732827681607
1517.221,-0.7074037220907361,-0.8329645601463619,0.1255608380556258
1517.703,-0.6981206310769775,-0.8316085369456288,0.13348790586865122
1518.185,-0.6862706741764373,-0.8300831142962677,0.1438124401198304
1518.667,-0.6713971129518175,-0.8283887251142079,0.15699161216239044
1519.15,-0.6576494829366284,-0.8265217946983835,0.1688723117617551
1519.632,-0.6403351666591627,-0.8244905515107017,0.18415538485153904
1520.114,-0.6240556341865725,-0.8222918337947046,0.1982361996081321
1520.596,-0.6070823486461129,-0.8199262021128251,0.2128438534667122
1521.078,-0.5916953692228107,-0.8173942485307337,0.22569887930792298
1521.56,-0.5790205596920123,-0.8146965964494213,0.235676036757409
1522.042,-0.5667817315655388,-0.8118339004317384,0.24505216886619963
1522.524,-0.5580587965718536,-0.8088068460234489,0.25074804945159523
1523.007,-0.556607055000956,-0.8056093602742099,0.24900230527325395
1523.489,-0.5560468932293123,-0.8022554315672796,0.2462085383379673
1523.971,-0.5594430634054958,-0.7987393867779472,0.23929632337245144
1524.453,-0.5664409416877971,-0.7950620335484528,0.2286210918606557
1524.935,-0.5759570168597196,-0.7912242095280924,0.2152671926683728
1525.417,-0.5885502542370475,-0.787226782162315,0.19867652792526747
1525.899,-0.6010918093739362,-0.7830706484766922,0.18197883910275592
1526.381,-0.6123034388443418,-0.7787567348558025,0.16645329601146075
1526.864,-0.6217279657103694,-0.7742765590864582,0.15254859337608884
1527.346,-0.6324004784326869,-0.7696496587727975,0.13724918034011058
1527.828,-0.6402440731827185,-0.7648679336767378,0.1246238604940193
1528.31,-0.6419924147722325,-0.7599324253665319,0.11794001059429948
1528.792,-0.6429974436059955,-0.754844203588905,0.1118467599829095
1529.274,-0.6385599554059455,-0.7496043660185362,0.11104441061259074
1529.756,-0.6310736991368303,-0.7442140380028711,0.1131403388660408
1530.238,-0.6206312502227732,-0.7386743723022852,0.11804312207951195
1530.72,-0.6072981889505313,-0.732986548825649,0.12568835987511762
1531.203,-0.592670185536464,-0.7271395171161951,0.13446933157973107
1531.685,-0.5754818117463104,-0.7211587240407249,0.14567691229441448
1532.167,-0.5574260631178987,-0.7150334757359879,0.1576074126180892
1532.649,-0.5407236663693182,-0.7087650580250057,0.16804139165568743
1533.131,-0.5246154467100774,-0.7023547824900995,0.1777393357800221
1533.613,-0.5088886828610201,-0.6958039861822761,0.18691530332125605
1534.095,-0.49570946106515007,-0.6891140313264645,0.19340457026131447
1534.577,-0.48266264927649916,-0.6822863050227115,0.19962365574621233
1535.06,-0.46964876812577433,-0.675307629878421,0.20565886175264664
1535.542,-0.45463352343967783,-0.6682083415455826,0.21357481810590478
1536.024,-0.44211678909441704,-0.6609755923210572,0.21885880322664014
1536.506,-0.4320860837083723,-0.6536108657865324,0.22152478207816007
1536.988,-0.42548117299368526,-0.6461156688451097,0.22063449585142447
1537.47,-0.4152086189063951,-0.6384915313994499,0.22328291249305482
1537.952,-0.4064001919257691,-0.6307400060261641,0.224339814100395
1538.434,-0.401051149299766,-0.6228626676468041,0.2218115183470381
1538.917,-0.39552058592093325,-0.6148443844568705,0.21932379853593725
