corrected_wavenumber,filtered_fundamental_signal,unwrapped_phase_rad,fitted_phase_rad,phase_residual_rad
1877.2715803255069,-0.5208890066910993,3.0305761942019553,3.7490418770110185,-0.7184656828090632
1878.9269048919102,-0.5221221347471482,3.037708842645267,3.756430332124964,-0.7187214894796967
1880.5822294583138,-0.5233296776768916,3.0448450052593796,3.7638187872389093,-0.7189737819795297
1882.2375540247172,-0.5245114441693746,3.051984667342349,3.7712072423528546,-0.7192225750105057
1883.8928785911207,-0.5256672441915974,3.059127814282517,3.7785956974668,-0.7194678831842829
1885.548203157524,-0.5267968890099546,3.0662744315579715,3.7859841525807454,-0.7197097210227739
1887.2035277239277,-0.527900191211615,3.0734245047360256,3.7933726076946908,-0.7199481029586652
1888.858852290331,-0.5289769647258359,3.080578019472689,3.800761062808636,-0.7201830433359473
1890.5141768567344,-0.5300270248452146,3.087734961512148,3.8081495179225815,-0.7204145564104336
1892.169501423138,-0.5310501882468714,3.094895316686239,3.815537973036527,-0.7206426563502877
1893.8248259895413,-0.5320462730135639,3.1020590709139375,3.8229264281504722,-0.7208673572365347
1895.4801505559449,-0.5330150986547291,3.1092262102008306,3.8303148832644176,-0.721088673063587
1897.1354751223482,-0.5339564861274522,3.116396720638615,3.837703338378363,-0.721306617739748
1898.7907996887518,-0.5348702578573591,3.123570588404576,3.84509179349231,-0.721521205087734
1900.4461242551552,-0.5357562377594317,3.1307477997610813,3.8524802486062537,-0.7217324488451724
1902.1014488215585,-0.5366142512587418,3.1379283410550767,3.859868703720199,-0.7219403626651224
1903.756773387962,-0.5374441253111041,3.145112198717573,3.8672571588341444,-0.7221449601165713
1905.4120979543654,-0.5382456884236431,3.1522993592631523,3.87464561394809,-0.7223462546849375
1907.067422520769,-0.5390187706752747,3.1594898092894637,3.882034069062037,-0.7225442597725733
1908.7227470871724,-0.5397632037370992,3.166683535476724,3.8894225241759806,-0.7227389886992563
1910.3780716535757,-0.5404788208927012,3.1738805245872257,3.896810979289926,-0.7229304547027002
1912.0333962199793,-0.5411654570583605,3.181080763464841,3.9041994344038713,-0.7231186709390305
1913.6887207863826,-0.5418229488031643,3.1882842390345356,3.9115878895178167,-0.723303650483281
1915.3440453527862,-0.5424511343690231,3.195490938301872,3.918976344631762,-0.7234854063298899
1916.9993699191896,-0.5430498536905893,3.2027008483525305,3.9263647997457074,-0.7236639513931769
1918.6546944855932,-0.5436189484150717,3.2099139563518273,3.9337532548596545,-0.7238392985078272
1920.3100190519965,-0.544158261921948,3.2171302495442253,3.941141709973598,-0.7240114604293728
1921.9653436183999,-0.544667639342572,3.224349715252862,3.9485301650875435,-0.7241804498346815
1923.6206681848034,-0.5451469275796715,3.2315723408790706,3.955918620201489,-0.7243462793224182
1925.2759927512068,-0.5455959753267391,3.2387981139019044,3.9633070753154342,-0.7245089614135298
1926.9313173176104,-0.5460146330873085,3.246027021877671,3.9706955304293814,-0.7246685085517104
1928.5866418840137,-0.5464027531941186,3.253259052439458,3.978083985543325,-0.724824933103867
1930.2419664504173,-0.546760189828162,3.260494193296664,3.985472440657272,-0.7249782473606081
1931.8972910168206,-0.5470867990376139,3.267732432234542,3.9928608957712157,-0.7251284635366737
1933.552615583224,-0.5473824387566433,3.2749737571137305,4.000249350885161,-0.7252755937714306
1935.2079401496276,-0.5476469688240997,3.2822181558697987,4.007637805999108,-0.7254196501293095
1936.863264716031,-0.5478802510020782,3.289465616512788,4.015026261113052,-0.725560644600264
1938.5185892824345,-0.548082148994357,3.2967161271267513,4.022414716226999,-0.7256985891002476
1940.1739138488379,-0.5482525284647078,3.3039696758693102,4.029803171340943,-0.7258334954716323
1941.8292384152414,-0.548391257055076,3.311226250971201,4.03719162645489,-0.7259653754836886
1943.4845629816448,-0.5484982044036277,3.318485840735821,4.044580081568833,-0.7260942408330124
1945.1398875480481,-0.5485732421626657,3.3257484335387977,4.051968536682779,-0.726220103143981
1946.7952121144517,-0.548616244016406,3.333014017827529,4.059356991796726,-0.7263429739691967
1948.450536680855,-0.5486270856986192,3.3402825821207567,4.066745446910669,-0.7264628647899127
1950.1058612472586,-0.5486056450101309,3.3475541150081187,4.074133902024617,-0.7265797870164978
1951.761185813662,-0.5485518018361807,3.35482860514972,4.08152235713856,-0.7266937519888401
1953.4165103800656,-0.548465438163637,3.362106041275697,4.088910812252507,-0.7268047709768104
1955.071834946469,-0.5483464380980665,3.3693864121857815,4.096299267366453,-0.7269128551806712
1956.7271595128723,-0.5481946878806578,3.3766697067488844,4.103687722480396,-0.7270180157315118
1958.3824840792759,-0.548010075904992,3.383955913902656,4.111076177594343,-0.7271202636916874
1960.0378086456792,-0.5477924927336659,3.391245022653071,4.118464632708287,-0.727219610055216
1961.6931332120828,-0.5475418311147602,3.398537022074004,4.125853087822234,-0.72731606574823
1963.3484577784861,-0.5472579859981522,3.405831901306809,4.1332415429361795,-0.7274096416293707
1965.0037823448895,-0.546940854551673,3.413129649559905,4.140629998050123,-0.727500348490218
1966.659106911293,-0.5465903361771057,3.4204302561083604,4.14801845316407,-0.7275881970557099
1968.3144314776964,-0.5462063325260222,3.4277337102934826,4.155406908278014,-0.7276731979845312
1969.9697560441,-0.5457887475154592,3.435040001522404,4.162795363391961,-0.7277553618695571
1971.6250806105033,-0.545337487343429,3.4423491192676785,4.170183818505905,-0.7278346992382261
1973.280405176907,-0.5448524605042643,3.4496610530668734,4.177572273619852,-0.7279112205529783
1974.9357297433103,-0.5443335778037965,3.45697579252217,4.184960728733797,-0.7279849362116271
